4,0,4,3,7,4,5,13,4,14,8,6,14,12,19,11,27,25,58,156,114,249,120,80,141,72,156,113,324,136,148,300,155,401,220,242,686,389,722,327,352,606,247,474,278,471,202,233,542,302,516,229,201,304,96,169,34,29,1,3,8,3,10,4,2,10,7,10,10,5,16,9,23,12,24,15,8,30,18,37,28,22,47,17,70,44,85,54,68,117,86,175,111,108,258,142,343,196,254,614,353,780,498,1205,765,879,2229,1392,3765,2456,2864,7808,5205,14495,9712,28012,19692,25289,73017,53085,159466,120706,156457,464214,303363,849354,441728,4315221,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,9,36,62,45,145,95,284,221,495,678,340,665,339,672,827,419,804,348,680,345,620,604,256,506,188,519,399,130,98,20,22,14,7,23,16,34,11,40,37,15,37,19,52,79,37,73,41,81,53,137,121,69,166,87,211,285,137,329,191,395,534,290,648,411,1014,488,1345,1693,1061,2627,1539,4010,5240,3330,8841,5557,14771,9771,26194,39645,27148,76577,53831,158135,267687,191400,546458,352290,936166,4325512,0
1,2,1,1,2,4,4,6,9,10,0,16,38,70,106,114,209,285,419,494,518,0,477,319,210,85,30,6,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,2,0,2,1,0,1,0,3,1,3,3,11,10,5,7,0,12,15,14,19,34,37,28,50,60,83,0,103,92,121,154,206,216,276,327,411,0,486,614,662,899,1057,1228,1487,1903,2219,2677,0,3233,3892,4566,5597,6592,7824,9118,10826,13006,14770,0,17338,20236,22640,25338,27977,30730,33427,35064,36353,389527,0
10489,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,0,0,3,3,4,5,13,13,10,25,55,68,60,166,190,213,371,564,448,905,880,949,1464,1979,2648,4220,6241,8950,14159,20780,31986,51618,87088,131402,251436,1068587,0
1338,7,5,5,6,4,8,9,6,12,7,14,7,6,4,9,4,4,10,6,9,4,10,7,4,7,3,6,4,7,8,6,7,5,11,6,6,8,3,11,8,7,6,10,8,10,7,7,17,8,9,14,8,7,11,14,15,4,8,17,14,12,15,19,19,14,27,20,23,19,32,27,22,24,45,71,96,178,264,375,584,592,515,429,364,230,111,76,100,103,109,128,141,156,226,229,272,304,351,421,562,661,856,995,1268,1447,1845,2244,2656,3273,3961,4862,5925,7044,8547,10092,12047,14192,16567,19047,21242,24080,26732,29439,31953,34255,35698,406993,0
8717,20,10,19,11,3,7,3,2,1,1,3,2,11,1,6,7,4,9,16,10,9,7,6,7,22,15,20,33,18,27,15,11,16,7,6,5,14,9,14,21,9,7,15,14,8,17,10,15,16,18,21,19,18,15,19,30,35,42,19,30,35,17,19,28,30,28,45,32,39,46,39,42,40,37,54,43,44,56,52,65,54,62,52,52,86,68,84,77,90,103,89,96,117,121,146,155,170,181,205,235,254,331,386,383,484,604,621,784,953,1136,1578,1967,2269,3041,3926,5015,7088,9402,13229,19287,27589,40618,62328,96370,141990,214671,1029156,0
78,1,3,5,8,9,6,5,7,5,8,4,7,3,5,9,10,4,9,10,16,16,11,13,16,7,16,14,14,20,25,21,23,37,37,30,33,32,37,40,38,41,53,38,61,49,53,69,78,60,63,81,101,79,88,95,107,105,108,139,174,144,167,197,182,214,237,246,256,269,294,318,329,378,396,435,510,507,580,558,694,701,796,900,983,1143,1122,1307,1525,1656,1814,2055,2240,2540,2857,3209,3749,4084,4554,5140,5829,6651,7243,8287,9250,10414,11595,13344,14812,17315,19553,22720,25824,29720,34363,40030,46223,53888,62391,72102,83575,96175,111294,125728,140958,153938,163916,1706970,1
53,37,70,52,36,31,28,49,52,34,65,48,39,32,22,25,24,23,15,32,20,18,23,28,29,22,27,31,29,17,26,29,27,48,41,35,43,36,38,33,37,45,36,28,52,50,68,49,53,47,72,68,76,80,67,86,62,93,92,81,65,82,95,126,109,126,150,172,191,228,220,233,217,263,244,260,274,315,339,374,390,485,556,575,530,528,425,383,387,359,364,430,486,556,697,820,922,1173,1389,1618,1914,2262,2629,3109,3463,4020,4538,5239,6014,6904,8216,9898,11704,14239,17781,21779,27547,34568,44936,57765,75527,97405,123734,153165,183515,210391,229401,1764300,0
8,0,1,0,0,1,1,1,3,1,0,0,0,0,0,0,1,0,1,0,2,2,2,4,0,1,0,0,2,4,0,1,3,5,3,2,3,2,2,1,2,5,8,5,4,8,4,7,7,8,10,8,8,9,12,10,8,13,13,19,14,27,17,18,17,20,19,19,22,31,31,44,41,35,66,46,63,67,59,66,82,113,106,122,152,169,221,207,233,311,320,401,478,524,602,704,871,994,1147,1410,1646,1961,2297,2753,3148,3797,4412,5169,6253,7510,8825,10502,12638,15100,18383,22403,26974,33304,41855,52687,64846,80335,104473,137965,161395,169616,220110,1915257,0
1,1,1,3,7,9,20,23,23,15,26,47,143,69,75,100,84,98,152,67,73,71,45,37,38,20,21,21,29,44,96,78,79,95,106,117,249,110,108,92,86,101,162,80,67,66,62,71,113,53,41,44,37,27,56,9,4,6,1,1,4,2,1,0,0,0,0,1,1,0,1,0,0,3,3,1,2,4,0,6,4,3,4,5,5,20,17,12,29,25,36,78,53,71,65,87,127,325,191,239,282,351,415,1208,741,918,1093,1407,1576,4296,2844,3418,4224,4905,5979,15990,10205,12095,14292,16642,19365,46501,27564,30568,32868,34943,36701,450036,0
